close,return,realreturn,direction,future_direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
195.01,-0.007815134,-1.53,-1,-1,2,2,2,2,2,1.53,0,0,77.01271186
194.68,-0.001693654,-0.33,-1,1,0,2,2,2,2,0.33,0,0,71.49372862
196.14,0.007471505,1.46,1,1,1,0,2,2,2,1.46,1,1.46,71.62315551
196.32,0.000917291,0.18,1,1,2,1,0,2,2,0.18,1,0.18,68.19338422
197.74,0.007207056,1.42,1,-1,2,2,1,0,2,1.42,1,1.42,77.84156142
197.57,-0.000860085,-0.17,-1,1,2,2,2,1,0,0.17,0,0,76.2979684
198.52,0.004796899,0.95,1,-1,1,2,2,2,1,0.95,1,0.95,76
197.99,-0.002673326,-0.53,-1,1,2,1,2,2,2,0.53,0,0,72.12581345
198.67,0.003428632,0.68,1,1,1,2,1,2,2,0.68,1,0.68,72.156013
200.01,0.006722209,1.34,1,1,2,1,2,1,2,1.34,1,1.34,74.45328032
200.18,0.000849596,0.17,1,-1,2,2,1,2,1,0.17,1,0.17,74.95107632
200.16,-9.99E-05,-0.02,-1,-1,2,2,2,1,2,0.02,0,0,74.48071217
198.79,-0.006868056,-1.37,-1,1,1,2,2,2,1,1.37,0,0,64.54219031
200.23,0.007217715,1.44,1,1,1,1,2,2,2,1.44,1,1.44,65.9188956
201.34,0.005528315,1.11,1,1,2,1,1,2,2,1.11,1,1.11,78.33482543
201.81,0.002331639,0.47,1,-1,2,2,1,1,2,0.47,1,0.47,81.52077807
200.88,-0.004618946,-0.93,-1,-1,2,2,2,1,1,0.93,0,0,71.9851577
200.43,-0.002242656,-0.45,-1,-1,1,2,2,2,1,0.45,0,0,68.59728507
200.22,-0.001048297,-0.21,-1,1,1,1,2,2,2,0.21,0,0,62.60162602
200.76,0.002693403,0.54,1,1,1,1,1,2,2,0.54,1,0.54,65.62193928
201.35,0.002934523,0.59,1,-1,2,1,1,1,2,0.59,1,0.59,64.36548223
201.24,-0.000546462,-0.11,-1,1,2,2,1,1,1,0.11,0,0,67.23223754
201.92,0.003373354,0.68,1,-1,1,2,2,1,1,0.68,1,0.68,67.23223754
199.91,-0.010004314,-2.01,-1,1,2,1,2,2,1,2.01,0,0,49.5049505
200.03,0.00060009,0.12,1,1,0,2,1,2,2,0.12,1,0.12,49.25373134
200.11,0.00039986,0.08,1,1,2,0,2,1,2,0.08,1,0.08,49.75272008
200.75,0.003193137,0.64,1,-1,2,2,0,2,1,0.64,1,0.64,60.44776119
199.75,-0.004993768,-1,-1,1,2,2,2,0,2,1,0,0,47.31543624
200.67,0.004595183,0.92,1,1,1,2,2,2,0,0.92,1,0.92,46.17142857
